sub,ROI,hemi,CenterXs,CenterYs,FWHMs,FWHM_radius,size
JEW23,hV4,rh,-4.780276627,-1.525035795,8.994752152,4.497376076,6.388981
JEW23,VO,rh,-5.915005902,1.309871219,15.26958449,7.634792243,9.688592
JEW23,PHC,rh,-11.36486968,-2.842392147,17.35705164,8.678525821,16.46792
JEW23,pFus_faces,rh,-1.590391115,-1.747360739,7.239759179,3.61987959,9.990972
JEW23,CoS_places,rh,-7.522794496,-0.411577331,13.43028748,6.715143738,13.26721
JEW23,OTS_bodies,rh,-0.806870044,-8.085618872,11.79915609,5.899578047,13.67576
JP23,V1,rh,-9.13698569,-0.609353086,13.24618036,6.623090179,2.632896
JP23,V2,rh,-9.114245239,0.46916019,12.74098352,6.370491761,3.720369
JP23,V3,rh,-7.666396036,-0.720345392,15.06611323,7.533056613,5.325147
JP23,hV4,rh,-4.951138962,0.662909461,7.559566916,3.779783458,6.006763
JP23,VO,rh,-7.891177394,1.164440833,10.63481609,5.317408047,10.97581
JP23,pFus_faces,rh,-4.615581089,-3.370547312,10.84186682,5.420933409,9.264887
JP23,CoS_places,rh,-5.783420326,-1.757422212,9.583312565,4.791656283,14.4099
JP23,mFus_faces,rh,-5.428843187,-3.8715391,11.86807809,5.934039047,10.00009
JP23,OTS_bodies,rh,0.580442536,-11.75529783,7.705000286,3.852500143,16.92994
JW,V1,rh,-4.936395286,0.042169381,16.0533195,8.02665975,3.200741
JW,V2,rh,-5.455031008,0.219906413,14.61186855,7.305934275,3.409937
JW,V3,rh,-4.734605539,-2.008788226,16.50322365,8.251611823,5.002893
JW,hV4,rh,-3.427456972,2.02614566,6.382567372,3.191283686,4.833133
JW,VO,rh,-4.576390903,0.828884255,8.780666263,4.390333131,8.224277
JW,PHC,rh,-9.624328962,0.333972763,15.20335826,7.601679128,14.08924
JW,pFus_faces,rh,-1.429750345,-2.157792597,5.315339236,2.657669618,8.956078
JW,pOTS_words,rh,-7.364773646,-5.423646888,7.65573288,3.82786644,18.71792
JW,CoS_places,rh,-5.755082122,0.32357975,7.664510332,3.832255166,14.09913
JW,mFus_faces,rh,-0.75407731,-2.475147077,4.255768519,2.127884259,7.69076
JW,OTS_bodies,rh,-2.460336576,-5.82788562,13.27023663,6.635118313,15.98351
KM25,V1,rh,-6.073949743,-2.396411645,14.58294918,7.291474591,2.993084
KM25,V2,rh,-5.819156375,-1.011695606,13.564739,6.782369501,3.607974
KM25,V3,rh,-6.760123472,-0.314878021,12.80767097,6.403835484,5.225929
KM25,hV4,rh,-4.827663571,1.328270521,5.34146193,2.670730965,5.768285
KM25,VO,rh,-6.524072908,0.027877587,9.458407476,4.729203738,7.165728
KM25,pFus_faces,rh,-2.337963714,-0.242259053,6.27873497,3.139367485,6.359931
KM25,pOTS_words,rh,-3.924681239,-1.349121328,9.311233976,4.655616988,8.325626
KM25,CoS_places,rh,-8.908198393,-0.431940939,6.893285633,3.446642817,9.811894
KM25,mFus_faces,rh,-3.622337658,2.537986404,9.07232916,4.53616458,8.337167
MG,V1,rh,-7.543540642,-1.299534406,14.93653667,7.468268335,3.244471
MG,V2,rh,-5.361290377,0.459154972,19.77928449,9.889642243,3.74293
MG,V3,rh,-4.992021519,-0.839674096,12.35629293,6.178146465,4.587641
MG,hV4,rh,-5.226748962,0.572279736,7.296952711,3.648476356,6.435342
MG,VO,rh,-10.32192078,2.240759917,10.27671476,5.138357382,10.15775
MG,pFus_faces,rh,-4.111915145,-1.311569268,11.28453621,5.642268105,12.17615
MG,pOTS_words,rh,-3.298237309,-3.451171592,7.520115237,3.760057618,10.39529
MG,CoS_places,rh,-7.8163463,-0.191016555,12.31616419,6.158082093,14.26071
MG,mFus_faces,rh,-0.766722431,-2.227831496,4.022557801,2.011278901,8.987578
MG,OTS_bodies,rh,-1.052794818,-3.762304339,3.134418143,1.567209072,9.715125
MG,mOTS_words,rh,-1.622951845,-3.599367376,2.825166932,1.412583466,10.4256
MJH25,V1,rh,-6.051211901,-0.414903497,17.62031133,8.810155665,4.21858
MJH25,V2,rh,-5.331773231,-2.429964623,13.80730762,6.903653812,4.19535
MJH25,V3,rh,-5.469594599,-1.092099293,14.56156147,7.280780734,5.278963
MJH25,hV4,rh,-5.411440914,0.749747775,9.957837326,4.978918663,7.536524
MJH25,VO,rh,-7.884559353,1.191998776,13.3583078,6.679153899,10.67264
MJH25,PHC,rh,-9.811207137,1.915535052,7.69118572,3.84559286,12.07696
MJH25,pFus_faces,rh,-3.560333305,-0.128081347,9.256643408,4.628321704,10.97722
MJH25,pOTS_words,rh,-3.619188925,-2.515904278,8.000376919,4.00018846,9.756682
MJH25,CoS_places,rh,-9.693231469,3.527970642,7.641651265,3.820825632,12.42652
MJH25,mFus_faces,rh,-1.532511319,-1.908901854,5.578972067,2.789486034,9.829825
MJH25,OTS_bodies,rh,-5.455197046,-3.112526135,8.604681428,4.302340714,12.42783
MN,V1,rh,-5.986896141,-1.250729025,13.62049174,6.810245869,3.699078
MN,V2,rh,-5.792947448,-1.329577083,15.50992286,7.754961432,3.507302
MN,V3,rh,-5.432106022,-1.568668198,13.79982597,6.899912986,5.004579
MN,hV4,rh,-4.641121655,0.348243927,10.07060875,5.035304375,6.187843
MN,VO,rh,-9.732072775,-0.743954958,10.4679313,5.233965651,11.83309
MN,pFus_faces,rh,-1.921197204,-3.096985203,3.697935321,1.84896766,10.02238
MN,pOTS_words,rh,-2.338869349,-1.245162019,6.656133352,3.328066676,5.459946
MN,CoS_places,rh,-11.44009847,-5.01449159,9.954563564,4.977281782,17.21786
