Session,Hemi,ROI,nrAdultFaces,meanAdultFaces,nrChildFaces,meanChildFaces,nrNoHeadBody,meanNoHeadBody,nrLimbs,meanLimbs,nrCars,meanCars,nrGuitars,meanGuitars,nrCorridors,meanCorridors,nrHouses,meanHouses,nrWords,meanWords,nrNumber,meanNumber,nrFaces,meanFaces,nrBodies,meanBodies,nrObjects,meanObjects,nrPlaces,meanPlaces,nrChars,meanChars
OS12_190724_time_06_1,lh,MOG_places_toon_JC_10mm,0,-3.51848761,0,-2.949937824,0,-1.811734328,0,-0.37750074,2,0.531137587,0,-0.895793094,46,3.1693628,35,2.195689022,14,0.81534889,18,1.361940072,0,-4.325977972,0,-1.366860851,0,-0.115586395,54,3.646903959,23,1.494147487
CS22_190217_time_03_1,lh,MOG_places_toon_JC_10mm,0,-5.019006194,0,-4.287693366,3,-1.751605276,27,2.352401122,1,0.354304438,0,-0.358297951,31,2.503712444,33,2.788931277,8,0.757626228,19,1.033901133,0,-6.230911582,14,0.739080478,0,0.063983342,42,3.582005984,22,1.231515575
em_050317,lh,MOG_places_toon_JC_10mm,14,1.574400678,7,0.927175414,32,2.691092007,0,-0.464878179,0,-3.449615124,0,-2.539053832,7,-0.638469796,4,0.22741825,0,0.772697801,7,0.85394717,16,1.725522223,9,1.558095851,0,-4.1590025,7,-0.286093428,5,1.140040068
NAV22_181218_time_03_1,lh,MOG_places_toon_JC_10mm,0,-2.985175553,0,-2.767173161,0,-2.045498689,0,-0.924748834,2,0.131728508,0,-0.327345474,36,2.968508552,69,5.179358522,2,-0.981194489,10,0.546532761,0,-3.869439578,0,-1.92126566,0,-0.090689346,63,5.49209275,9,-0.3180412
GB23_190117_time_03_1,lh,MOG_places_toon_JC_10mm,0,-2.957364306,0,-1.703856501,0,-3.395375958,0,-0.428173471,0,-0.083564176,0,-0.791019965,34,2.19927251,6,1.562832233,26,2.269757457,24,1.645180797,0,-3.051741136,0,-2.349843721,0,-0.531380568,35,2.556714695,36,2.70599815
JEW23_181211_time_03_1,lh,MOG_places_toon_JC_10mm,0,-3.534561878,0,-3.165649007,5,-1.249763931,8,0.805091676,0,-1.017155093,0,-2.267344847,46,3.212452761,43,2.966735344,16,0.909824665,25,1.70759203,0,-4.498098595,8,-0.134918662,0,-2.127287386,61,4.189293352,30,1.79448351
JP23_170111_time_02_1,lh,MOG_places_toon_JC_10mm,0,-0.035047957,1,0.439632237,4,0.57878348,2,0.427582501,0,0.04268442,0,-0.167575651,0,-0.575152172,0,-0.424093831,0,-0.200394119,0,0.021018754,0,0.310251844,5,0.669448222,0,-0.065655209,0,-0.678858123,0,-0.126311119
MW23_190306_time_03_1,lh,MOG_places_toon_JC_10mm,0,-3.753236161,0,-1.876126994,0,-2.905828923,4,1.091860905,0,-1.446911316,0,-1.977988936,38,2.855505371,19,1.861845055,20,1.294030557,38,2.896692999,0,-3.657349015,1,-0.90521684,0,-2.290545703,40,3.208358671,35,2.869204854
MZ190410,lh,MOG_places_toon_JC_10mm,0,-3.31860247,0,-0.72485071,0,-2.001303958,5,0.884389232,4,1.057813612,0,-1.138321448,19,1.151653,2,0.04090497,15,1.851016425,5,0.74788303,0,-2.569454147,1,-0.537844231,1,0.146884517,13,0.820114158,21,1.816090881
CR24_181106_time_03_2,lh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NC24_190217_time_03_1,lh,MOG_places_toon_JC_10mm,0,-5.181929808,0,-3.460007664,0,-2.782328668,0,-0.769424823,21,1.826897552,0,-0.057368714,38,2.567056473,56,3.091554928,19,0.996537127,29,1.904680143,0,-5.704764292,0,-2.242963692,14,1.385534876,64,3.826925838,35,1.988767104
TL24_190428_time_03_1,lh,MOG_places_toon_JC_10mm,0,-3.032072238,0,-2.618637468,0,-0.557570227,11,1.522345007,0,-0.947305078,0,-1.155077235,6,1.084978027,30,2.668083519,5,0.089330327,15,1.920187332,0,-3.785575135,7,0.821829362,0,-1.417124861,28,2.522654081,11,1.363005268
KM25_181204_time_03_1,lh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mh102018,lh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0934766,0,0.48743382,0,-0.434056824,2,-0.944433123,3,0.963737171
MN181023,lh,MOG_places_toon_JC_10mm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-1.066391079,12,1.17322611,0,-1.293533311,0,0.151098755,8,1.030286161
