sub,group,age,hemi,ROI,ROItype,category,stream,meanT,catSelectivity
MDT09_191027_time_03_2,kids,14,lh,MOG_places,category,place,dorsal,4.580146688,Places
MDT09_191027_time_03_2,kids,14,lh,MTG_limbs,category,bodies,lateral,1.28000436,Bodies
MDT09_191027_time_03_2,kids,14,lh,OTS_bodies,category,bodies,ventral,0.114723715,Bodies
MDT09_191027_time_03_2,kids,14,lh,pFus_faces,category,face,ventral,0.823583003,Faces
MDT09_191027_time_03_2,kids,14,lh,pOTS_words,category,words,ventral,3.170135753,Words
MDT09_191027_time_03_2,kids,14,lh,pSTS_faces,category,face,lateral,-2.1634194,Faces
mg_041817,adults,29,lh,CoS_places,category,place,ventral,2.136990191,Places
mg_041817,adults,29,lh,IOG_faces,category,face,ventral,-0.321572407,Faces
mg_041817,adults,29,lh,IPS_places,category,place,dorsal,3.116066548,Places
mg_041817,adults,29,lh,ITG_limbs,category,bodies,lateral,5.523384765,Bodies
mg_041817,adults,29,lh,LOS_limbs,category,bodies,lateral,4.857186199,Bodies
mg_041817,adults,29,lh,mFus_faces,category,face,ventral,0.065570436,Faces
mg_041817,adults,29,lh,MOG_places,category,place,dorsal,2.297644078,Places
mg_041817,adults,29,lh,MTG_limbs,category,bodies,lateral,0.0868798,Bodies
mg_041817,adults,29,lh,OTS_bodies,category,bodies,ventral,2.086986456,Bodies
mg_041817,adults,29,lh,pFus_faces,category,face,ventral,-0.321572407,Faces
mg_041817,adults,29,lh,pOTS_words,category,words,ventral,0.373957587,Words
mg_041817,adults,29,lh,pSTS_faces,category,face,lateral,-1.9204171,Faces
mh102018,adults,25,lh,CoS_places,category,place,ventral,0.096540375,Places
mh102018,adults,25,lh,IOG_faces,category,face,ventral,-0.6072417,Faces
mh102018,adults,25,lh,IPS_places,category,place,dorsal,-0.874124235,Places
mh102018,adults,25,lh,LOS_limbs,category,bodies,lateral,0.079975155,Bodies
mh102018,adults,25,lh,mFus_faces,category,face,ventral,-0.665475095,Faces
mh102018,adults,25,lh,MOG_places,category,place,dorsal,-0.944433123,Places
mh102018,adults,25,lh,MTG_limbs,category,bodies,lateral,0.07997516,Bodies
mh102018,adults,25,lh,OTS_bodies,category,bodies,ventral,-0.13901328,Bodies
mh102018,adults,25,lh,pFus_faces,category,face,ventral,-0.802980154,Faces
mh102018,adults,25,lh,pSTS_faces,category,face,lateral,-1.8392224,Faces
MN181023,adults,25,lh,CoS_places,category,place,ventral,0.572965816,Places
MN181023,adults,25,lh,IOG_faces,category,face,ventral,-0.898759183,Faces
MN181023,adults,25,lh,IPS_places,category,place,dorsal,0.128128036,Places
MN181023,adults,25,lh,ITG_limbs,category,bodies,lateral,1.27087191,Bodies
MN181023,adults,25,lh,LOS_limbs,category,bodies,lateral,1.012354968,Bodies
MN181023,adults,25,lh,MOG_places,category,place,dorsal,0.151098755,Places
MN181023,adults,25,lh,MTG_limbs,category,bodies,lateral,0.26780084,Bodies
MN181023,adults,25,lh,OTS_bodies,category,bodies,ventral,0.267800836,Bodies
MN181023,adults,25,lh,pFus_faces,category,face,ventral,-0.615131645,Faces
MN181023,adults,25,lh,pSTS_faces,category,face,lateral,-0.9839777,Faces
MSH28_181008_time_03_1,adults,31,lh,CoS_places,category,place,ventral,1.828886945,Places
MSH28_181008_time_03_1,adults,31,lh,IPS_places,category,place,dorsal,2.848633127,Places
MSH28_181008_time_03_1,adults,31,lh,ITG_limbs,category,bodies,lateral,1.554249654,Bodies
